category,query_id,query_number,avg_runtime_ms,status,error
three_table_joins,Q092,403,107.9268,OK,
three_table_joins,Q093,404,3404.529,OK,
three_table_joins,Q094,405,1280.7165,OK,
three_table_joins,Q095,406,991.3356,OK,
three_table_joins,Q096,407,1136.4288,OK,
three_table_joins,Q097,408,387.9386,OK,
three_table_joins,Q098,409,953.9522,OK,
three_table_joins,Q099,410,1037.3163,OK,
three_table_joins,Q100,411,1727.258,OK,
three_table_joins,Q101,412,3309.3377,OK,
three_table_joins,Q102,413,281.1631,OK,
three_table_joins,Q103,414,1634.4727,OK,
three_table_joins,Q104,415,412.812,OK,
three_table_joins,Q105,416,1908.1913,OK,
three_table_joins,Q106,417,2032.1724,OK,
three_table_joins,Q107,418,877.8647,OK,
three_table_joins,Q108,419,462.097,OK,
three_table_joins,Q109,420,890.945,OK,
three_table_joins,Q110,421,1081.4207,OK,
three_table_joins,Q111,422,2.4333,OK,
three_table_joins,Q112,423,1570.5747,OK,
three_table_joins,Q113,424,1412.5983,OK,
three_table_joins,Q114,425,1130.6879,OK,
three_table_joins,Q115,426,2004.7473,OK,
three_table_joins,Q116,427,1182.5387,OK,
three_table_joins,Q117,428,1589.0652,OK,
three_table_joins,Q118,429,1419.3653,OK,
three_table_joins,Q119,430,1281.0294,OK,
three_table_joins,Q120,431,434.5488,OK,
three_table_joins,Q121,432,221.4231,OK,
three_table_joins,Q122,433,1376.8231,OK,
three_table_joins,Q123,434,519.7224,OK,
three_table_joins,Q124,435,1546.8362,OK,
three_table_joins,Q125,436,133.6248,OK,
three_table_joins,Q126,437,1066.033,OK,
three_table_joins,Q127,438,153.8503,OK,
three_table_joins,Q128,439,1397.334,OK,
three_table_joins,Q129,440,232.7887,OK,
three_table_joins,Q130,441,169.4828,OK,
three_table_joins,Q131,442,610.3092,OK,
three_table_joins,Q132,443,848.5255,OK,
three_table_joins,Q133,444,1223.6128,OK,
three_table_joins,Q134,445,178.3157,OK,
three_table_joins,Q135,446,694.9945,OK,
three_table_joins,Q136,447,258.4005,OK,
three_table_joins,Q137,448,105.9092,OK,
three_table_joins,Q138,449,848.3227,OK,
three_table_joins,Q139,450,14.5007,OK,
three_table_joins,Q140,451,835.4309,OK,
three_table_joins,Q141,452,255.6462,OK,
three_table_joins,Q142,453,114.3397,OK,
three_table_joins,Q143,454,114.2009,OK,
three_table_joins,Q144,455,505.1886,OK,
three_table_joins,Q145,456,19.4157,OK,
three_table_joins,Q146,457,60.0109,OK,
three_table_joins,Q147,458,37.7763,OK,
three_table_joins,Q148,459,603.2654,OK,
three_table_joins,Q149,460,286.8607,OK,
three_table_joins,Q150,461,400.3223,OK,
three_table_joins,Q151,462,49.8086,OK,
three_table_joins,Q152,463,109.3845,OK,
three_table_joins,Q153,464,1717.4719,OK,
three_table_joins,Q154,465,100.5805,OK,
three_table_joins,Q155,466,658.5001,OK,
three_table_joins,Q156,467,31.8228,OK,
three_table_joins,Q157,468,34.788,OK,
three_table_joins,Q158,469,19.0529,OK,
three_table_joins,Q159,470,416.5933,OK,
three_table_joins,Q160,471,78.5867,OK,
three_table_joins,Q161,472,54.6585,OK,
three_table_joins,Q162,473,817.4103,OK,
three_table_joins,Q163,474,13.4594,OK,
three_table_joins,Q164,475,6.4371,OK,
three_table_joins,Q165,476,325.8645,OK,
three_table_joins,Q166,477,197.689,OK,
three_table_joins,Q167,478,81.9089,OK,
three_table_joins,Q168,479,365.1573,OK,
three_table_joins,Q169,480,932.1588,OK,
three_table_joins,Q170,481,368.2152,OK,
three_table_joins,Q171,482,828.4625,OK,
three_table_joins,Q172,483,152.6864,OK,
three_table_joins,Q173,484,192.1745,OK,
three_table_joins,Q174,485,257.918,OK,
three_table_joins,Q175,486,367.9563,OK,
three_table_joins,Q176,487,609.4828,OK,
three_table_joins,Q177,488,30.983,OK,
three_table_joins,Q178,489,325.5222,OK,
three_table_joins,Q179,490,235.3483,OK,
three_table_joins,Q180,491,414.9129,OK,
three_table_joins,Q181,492,719.9962,OK,
three_table_joins,Q182,493,264.0343,OK,
three_table_joins,Q183,494,1026.3295,OK,
three_table_joins,Q184,495,270.6344,OK,
three_table_joins,Q185,496,555.8162,OK,
three_table_joins,Q186,497,643.2782,OK,
three_table_joins,Q187,498,250.5881,OK,
three_table_joins,Q188,499,748.8636,OK,
three_table_joins,Q189,500,168.0645,OK,
three_table_joins,Q190,501,1338.6162,OK,
three_table_joins,Q191,502,1368.0631,OK,
three_table_joins,Q192,503,572.4188,OK,
three_table_joins,Q193,504,516.3817,OK,
three_table_joins,Q194,505,19608.8515,OK,
three_table_joins,Q195,506,57.1181,OK,
three_table_joins,Q196,507,300.9929,OK,
three_table_joins,Q197,508,1762.1325,OK,
three_table_joins,Q198,509,1436.1867,OK,
three_table_joins,Q199,510,70.8501,OK,
three_table_joins,Q200,511,2883.4791,OK,
aggregation,Q001,512,4.0958,OK,
aggregation,Q002,513,127.5191,OK,
aggregation,Q003,514,2.2142,OK,
aggregation,Q004,515,3.9213,OK,
aggregation,Q005,516,82.92,OK,
aggregation,Q006,517,32.4669,OK,
aggregation,Q007,518,86.6208,OK,
aggregation,Q008,519,0.6066,OK,
aggregation,Q009,520,9.4498,OK,
aggregation,Q010,521,10.2903,OK,
aggregation,Q011,522,24.6009,OK,
aggregation,Q012,523,85.6804,OK,
aggregation,Q013,524,83.9408,OK,
aggregation,Q014,525,86.382,OK,
aggregation,Q015,526,3.865,OK,
aggregation,Q016,527,115.0787,OK,
aggregation,Q017,528,2.1948,OK,
aggregation,Q018,529,20.4849,OK,
aggregation,Q019,530,1.2083,OK,
aggregation,Q020,531,2.8908,OK,
aggregation,Q021,532,32.3461,OK,
aggregation,Q022,533,150.5671,OK,
aggregation,Q023,534,0.2515,OK,
aggregation,Q024,535,2.675,OK,
aggregation,Q025,536,18.4371,OK,
aggregation,Q026,537,28.4283,OK,
aggregation,Q027,538,2.6118,OK,
aggregation,Q028,539,0.5769,OK,
aggregation,Q029,540,106.9206,OK,
aggregation,Q030,541,0.5026,OK,
aggregation,Q031,542,48.2458,OK,
aggregation,Q032,543,387.4791,OK,
aggregation,Q033,544,4.8414,OK,
aggregation,Q034,545,5.8629,OK,
aggregation,Q035,546,27.7849,OK,
aggregation,Q036,547,42.117,OK,
aggregation,Q037,548,37.6737,OK,
aggregation,Q038,549,197.8983,OK,
aggregation,Q039,550,196.6858,OK,
aggregation,Q040,551,224.03,OK,
aggregation,Q041,552,0.4503,OK,
aggregation,Q042,553,10.1413,OK,
aggregation,Q043,554,39.9621,OK,
aggregation,Q044,555,134.3893,OK,
